ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1676,86,10,RBR,3,15,Finished,+19.412
1677,86,16,MCL,4,12,Finished,+20.354
1678,86,19,MCL,5,10,Finished,+21.921
1679,86,22,MER,6,8,Finished,+56.295
1680,86,17,RBR,7,6,Finished,+59.072
1681,86,13,HAS,8,4,Finished,+62.957
1682,86,30,AT,9,2,Finished,+70.563
1683,86,43,WIL,10,1,Finished,+71.979
1684,86,15,HAS,11,0,Finished,+79.782
1685,86,8,ALP,12,0,Finished,+90.558
1686,86,25,AMR,13,0,Finished,+1 Lap
1687,86,23,AT,14,0,Finished,+1 Lap
1688,86,26,AMR,15,0,Finished,+1 Lap
1689,86,1,WIL,16,0,Finished,+1 Lap
1690,86,18,SAU,17,0,Finished,+1 Lap
1691,86,24,ALP,18,0,Finished,+1 Lap
1692,86,27,SAU,19,0,Finished,+1 Lap
1693,86,11,MER,NULL,0,DNF,NULL
1694,87,21,FER,1,25,Finished,01:40:55.800
1695,87,16,MCL,2,18,Finished,+4.705
1696,87,12,FER,3,16,Finished,+34.387
1697,87,11,MER,4,12,Finished,+44.780
1698,87,22,MER,5,10,Finished,+48.536
1699,87,10,RBR,6,8,Finished,+59.558
1700,87,15,HAS,7,6,Finished,+63.642
1701,87,19,MCL,8,4,Finished,+64.928
1702,87,13,HAS,9,2,Finished,+1 Lap
1703,87,8,ALP,10,1,Finished,+1 Lap
1704,87,26,AMR,11,0,Finished,+1 Lap
1705,87,43,WIL,12,0,Finished,+1 Lap
1706,87,24,ALP,13,0,Finished,+1 Lap
1707,87,18,SAU,14,0,Finished,+1 Lap
1708,87,27,SAU,15,0,Finished,+1 Lap
1709,87,30,AT,16,0,Finished,+1 Lap
1710,87,17,RBR,17,0,Finished,+1 Lap
1711,87,25,AMR,NULL,0,DNF,NULL
1712,87,1,WIL,NULL,0,DNF,NULL
1713,87,23,AT,NULL,0,DNF,NULL
1714,88,10,RBR,1,26,Finished,02:06:54.430
1715,88,24,ALP,2,18,Finished,+19.477
1716,88,8,ALP,3,15,Finished,+22.532
1717,88,22,MER,4,12,Finished,+23.265
1718,88,12,FER,5,10,Finished,+30.177
